00:51:48.396129, 3, 1M, CPU usage: 9.82% user, 13.29% sys, 76.87% idle
00:51:51.711974, 3, 1M, CPU usage: 10.65% user, 13.1% sys, 76.33% idle
00:51:52.224407, 3, 1M, CPU usage: 9.69% user, 12.72% sys, 77.57% idle
00:52:05.902892, 3, 1M, CPU usage: 12.57% user, 13.17% sys, 74.25% idle
00:52:07.771420, 3, 1M, CPU usage: 11.17% user, 13.52% sys, 75.29% idle
00:52:10.123102, 3, 1M, CPU usage: 9.63% user, 13.25% sys, 77.10% idle
00:52:10.634623, 3, 1M, CPU usage: 10.5% user, 12.42% sys, 77.51% idle
00:52:11.184877, 3, 1M, CPU usage: 15.29% user, 13.52% sys, 71.17% idle
00:52:13.319138, 3, 1M, CPU usage: 10.71% user, 13.9% sys, 76.19% idle
00:52:16.665570, 3, 1M, CPU usage: 8.98% user, 13.17% sys, 77.84% idle
00:52:17.234316, 3, 1M, CPU usage: 9.46% user, 12.42% sys, 78.10% idle
01:04:25.448268, 3, 1M, CPU usage: 13.55% user, 12.42% sys, 74.1% idle
01:04:27.471458, 3, 1M, CPU usage: 10.5% user, 12.42% sys, 77.51% idle
01:04:29.869172, 3, 1M, CPU usage: 9.63% user, 12.4% sys, 78.31% idle
01:04:30.445707, 3, 1M, CPU usage: 9.88% user, 12.20% sys, 77.90% idle
01:04:30.990536, 3, 1M, CPU usage: 13.69% user, 12.50% sys, 73.80% idle
01:04:33.119873, 3, 1M, CPU usage: 8.87% user, 12.42% sys, 78.69% idle
01:04:36.511467, 3, 1M, CPU usage: 9.35% user, 13.45% sys, 77.19% idle
01:04:37.078870, 3, 1M, CPU usage: 10.17% user, 12.57% sys, 77.24% idle
01:07:29.978316, 3, 1M, CPU usage: 12.94% user, 12.94% sys, 74.11% idle
01:07:31.879591, 3, 1M, CPU usage: 11.11% user, 12.86% sys, 76.2% idle
01:07:34.165156, 3, 1M, CPU usage: 10.77% user, 13.17% sys, 76.4% idle
01:07:34.733764, 3, 1M, CPU usage: 10.5% user, 13.1% sys, 76.92% idle
01:07:35.280105, 3, 1M, CPU usage: 14.11% user, 12.94% sys, 72.94% idle
01:07:37.428505, 3, 1M, CPU usage: 10.71% user, 11.90% sys, 77.38% idle
01:07:40.689868, 3, 1M, CPU usage: 10.71% user, 12.50% sys, 76.78% idle
01:07:41.250188, 3, 1M, CPU usage: 9.94% user, 13.45% sys, 76.60% idle
01:10:26.668890, 1, 1M, CPU usage: 15.64% user, 13.96% sys, 70.39% idle
01:10:28.046129, 1, 1M, CPU usage: 14.70% user, 16.47% sys, 68.82% idle
01:10:29.398767, 1, 1M, CPU usage: 10.52% user, 14.3% sys, 75.43% idle
01:10:29.917313, 1, 1M, CPU usage: 11.24% user, 12.42% sys, 76.33% idle
01:10:30.508621, 1, 1M, CPU usage: 16.27% user, 14.53% sys, 69.18% idle
01:10:31.761245, 1, 1M, CPU usage: 11.30% user, 12.50% sys, 76.19% idle
01:10:34.006052, 1, 1M, CPU usage: 13.69% user, 14.28% sys, 72.2% idle
01:10:34.577050, 1, 1M, CPU usage: 10.0% user, 12.35% sys, 77.64% idle
01:11:40.447610, 1, 1M, CPU usage: 12.29% user, 13.40% sys, 74.30% idle
01:11:41.831292, 1, 1M, CPU usage: 11.90% user, 14.88% sys, 73.21% idle
01:11:43.324621, 1, 1M, CPU usage: 11.11% user, 14.3% sys, 74.85% idle
01:11:43.831868, 1, 1M, CPU usage: 11.4% user, 12.79% sys, 76.16% idle
01:11:44.367542, 1, 1M, CPU usage: 14.53% user, 12.79% sys, 72.67% idle
01:11:45.624451, 1, 1M, CPU usage: 11.90% user, 12.50% sys, 75.59% idle
01:11:48.032285, 1, 1M, CPU usage: 13.9% user, 14.28% sys, 72.61% idle
01:11:48.545003, 1, 1M, CPU usage: 10.91% user, 13.79% sys, 75.28% idle
01:12:56.409590, 1, 1M, CPU usage: 11.30% user, 11.90% sys, 76.78% idle
01:12:57.795147, 1, 1M, CPU usage: 11.62% user, 13.37% sys, 75.0% idle
01:12:59.228693, 1, 1M, CPU usage: 13.37% user, 13.37% sys, 73.25% idle
01:12:59.723072, 1, 1M, CPU usage: 11.56% user, 13.29% sys, 75.14% idle
01:13:00.312142, 1, 1M, CPU usage: 16.7% user, 14.28% sys, 69.64% idle
01:13:01.479676, 1, 1M, CPU usage: 15.8% user, 13.40% sys, 71.50% idle
01:13:03.840836, 1, 1M, CPU usage: 13.60% user, 12.42% sys, 73.96% idle
01:13:04.395735, 1, 1M, CPU usage: 10.52% user, 14.3% sys, 75.43% idle
01:13:50.683512, 1, 1M, CPU usage: 11.30% user, 13.9% sys, 75.59% idle
01:13:52.077609, 1, 1M, CPU usage: 11.56% user, 13.87% sys, 74.56% idle
01:13:53.476155, 1, 1M, CPU usage: 11.69% user, 12.86% sys, 75.43% idle
01:13:53.987373, 1, 1M, CPU usage: 10.0% user, 15.29% sys, 74.70% idle
01:13:54.576779, 1, 1M, CPU usage: 12.35% user, 14.11% sys, 73.52% idle
01:13:55.735837, 1, 1M, CPU usage: 10.46% user, 12.79% sys, 76.74% idle
01:13:58.130670, 1, 1M, CPU usage: 10.5% user, 14.20% sys, 75.73% idle
01:13:58.649203, 1, 1M, CPU usage: 10.11% user, 13.9% sys, 76.78% idle
01:25:10.688438, 1, 1M, CPU usage: 11.90% user, 13.9% sys, 75.0% idle
01:25:12.150681, 1, 1M, CPU usage: 11.30% user, 13.69% sys, 75.0% idle
01:25:13.589587, 1, 1M, CPU usage: 9.41% user, 11.76% sys, 78.82% idle
01:25:14.171867, 1, 1M, CPU usage: 13.21% user, 14.94% sys, 71.83% idle
01:25:14.698375, 1, 1M, CPU usage: 12.4% user, 12.65% sys, 75.30% idle
01:25:16.002881, 1, 1M, CPU usage: 10.65% user, 13.1% sys, 76.33% idle
01:25:18.314829, 1, 1M, CPU usage: 11.24% user, 11.83% sys, 76.92% idle
01:25:18.823201, 1, 1M, CPU usage: 9.94% user, 12.86% sys, 77.19% idle
01:25:51.991154, 1, 1M, CPU usage: 13.95% user, 13.95% sys, 72.9% idle
01:25:53.411211, 1, 1M, CPU usage: 9.41% user, 12.35% sys, 78.23% idle
01:25:54.948563, 1, 1M, CPU usage: 11.90% user, 13.9% sys, 75.0% idle
01:25:55.520326, 1, 1M, CPU usage: 8.98% user, 11.97% sys, 79.4% idle
01:25:56.116076, 1, 1M, CPU usage: 13.77% user, 13.17% sys, 73.5% idle
01:25:57.299254, 1, 1M, CPU usage: 9.94% user, 13.45% sys, 76.60% idle
01:25:59.542265, 1, 1M, CPU usage: 10.58% user, 14.11% sys, 75.29% idle
01:26:00.052071, 1, 1M, CPU usage: 10.65% user, 13.1% sys, 76.33% idle
01:33:14.184740, 1, 1M, CPU usage: 12.72% user, 12.72% sys, 74.54% idle
01:33:15.637539, 1, 1M, CPU usage: 12.71% user, 13.29% sys, 73.98% idle
01:33:17.126520, 1, 1M, CPU usage: 10.65% user, 13.1% sys, 76.33% idle
01:33:17.636673, 1, 1M, CPU usage: 14.11% user, 18.82% sys, 67.5% idle
01:33:18.171857, 1, 1M, CPU usage: 13.37% user, 13.95% sys, 72.67% idle
01:33:19.369674, 1, 1M, CPU usage: 10.17% user, 14.37% sys, 75.44% idle
01:33:21.727603, 1, 1M, CPU usage: 12.13% user, 12.71% sys, 75.14% idle
01:33:22.237994, 1, 1M, CPU usage: 10.11% user, 11.90% sys, 77.97% idle
01:34:26.947925, 1, 1M, CPU usage: 15.78% user, 13.45% sys, 70.76% idle
01:34:28.346654, 1, 1M, CPU usage: 10.71% user, 13.9% sys, 76.19% idle
01:34:29.845386, 1, 1M, CPU usage: 10.30% user, 12.12% sys, 77.57% idle
01:34:30.353881, 1, 1M, CPU usage: 10.58% user, 13.52% sys, 75.88% idle
01:34:30.886605, 1, 1M, CPU usage: 14.28% user, 14.28% sys, 71.42% idle
01:34:32.141290, 1, 1M, CPU usage: 10.71% user, 13.69% sys, 75.59% idle
01:34:34.490170, 1, 1M, CPU usage: 10.11% user, 12.50% sys, 77.38% idle
01:34:35.058763, 1, 1M, CPU usage: 15.47% user, 14.28% sys, 70.23% idle
01:35:07.529084, 1, 1M, CPU usage: 10.90% user, 13.93% sys, 75.15% idle
01:35:08.987444, 1, 1M, CPU usage: 10.77% user, 13.17% sys, 76.4% idle
01:35:10.393420, 1, 1M, CPU usage: 9.63% user, 13.25% sys, 77.10% idle
01:35:10.966428, 1, 1M, CPU usage: 11.69% user, 13.45% sys, 74.85% idle
01:35:11.557759, 1, 1M, CPU usage: 11.62% user, 18.2% sys, 70.34% idle
01:35:12.761456, 1, 1M, CPU usage: 10.65% user, 13.1% sys, 76.33% idle
01:35:15.126410, 1, 1M, CPU usage: 10.5% user, 13.1% sys, 76.92% idle
01:35:15.645775, 1, 1M, CPU usage: 11.69% user, 14.3% sys, 74.26% idle
